city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
50,albany,90,US,1570153771,87,42.65,-73.75,283.15,4.1
51,hobart,75,AU,1570153512,44,-42.88,147.33,287.59,5.1
52,khatanga,0,RU,1570153799,67,71.98,102.47,269.336,6.02
53,buenos aires,90,AR,1570153503,82,-34.61,-58.44,286.15,10.3
54,bosobolo,97,CD,1570153801,97,4.19,19.88,293.206,1.42
55,fortuna,1,US,1570153803,76,40.6,-124.16,287.59,4.1
56,bereda,90,ES,1570153805,93,43.27,-7.54,290.93,1.0
57,vorukh,0,KG,1570153806,42,39.85,70.57,287.116,0.15
58,codrington,0,AU,1570153807,30,-28.95,153.24,301.15,2.1
59,ponta do sol,0,BR,1570153696,50,-20.63,-46.0,293.056,4.66
60,vizinga,100,RU,1570153807,96,61.08,50.08,273.916,4.3
61,hermanus,100,ZA,1570153527,81,-34.42,19.24,288.15,10.22
62,avarua,100,CK,1570153777,65,-21.21,-159.78,299.15,3.6
63,ilulissat,100,GL,1570153810,31,69.22,-51.1,282.15,8.2
64,san patricio,77,PY,1570153810,93,-26.98,-56.83,293.826,1.0
65,klaksvik,100,FO,1570153595,70,62.23,-6.59,280.15,4.6
66,gornyy,99,RU,1570153812,84,51.76,48.54,285.036,3.98
67,shu,50,KZ,1570153812,39,43.6,73.76,286.986,0.35
68,victoria,75,BN,1570153813,83,5.28,115.24,300.15,1.0
69,fairburn,90,GB,1570153814,93,53.74,-1.28,283.71,2.1
70,harper,1,US,1570153702,53,30.3,-99.24,300.15,3.94
71,padilla,40,CO,1570153815,83,3.23,-76.31,294.15,2.1
72,nanortalik,100,GL,1570153601,77,60.14,-45.24,277.636,0.73
73,tuktoyaktuk,90,CA,1570153564,100,69.44,-133.03,275.15,3.6
74,rio grande,100,BR,1570153779,95,-32.03,-52.1,287.676,5.5
75,pastavy,59,BY,1570153818,95,55.11,26.84,279.106,3.67
76,clyde river,90,CA,1570153737,94,70.47,-68.59,274.15,5.1
77,baoqing,79,CN,1570153819,57,46.32,132.2,282.066,6.01
78,ormara,2,PK,1570153819,82,25.21,64.64,299.806,4.29
79,hasaki,40,JP,1570153609,94,35.73,140.83,298.15,7.2
80,balikpapan,100,ID,1570153820,85,-1.24,116.86,299.336,1.6
81,saint-philippe,90,CA,1570153821,70,45.36,-73.48,281.48,3.6
82,norman wells,75,CA,1570153796,81,65.28,-126.83,279.15,3.6
83,tapah,75,MY,1570153822,88,4.2,101.26,298.15,1.0
84,namibe,13,AO,1570153822,78,-15.19,12.15,291.846,3.3
85,contamana,7,PE,1570153823,87,-7.35,-75.01,294.506,1.66
86,port alfred,0,ZA,1570153806,83,-33.59,26.89,285.93,0.89
87,hualmay,93,PE,1570153826,91,-11.1,-77.61,289.496,7.66
88,atuona,0,PF,1570153826,78,-9.8,-139.03,299.816,7.27
89,castro,0,CL,1570153644,81,-42.48,-73.76,279.15,3.6
90,changji,38,CN,1570153827,41,32.07,116.17,304.406,2.17
91,vao,100,EE,1570153635,87,59.1,26.19,276.976,4.54
92,yellowknife,20,CA,1570153549,66,62.45,-114.38,282.15,3.6
93,arraial do cabo,0,BR,1570153602,88,-22.97,-42.02,294.376,7.74
94,mecca,0,SA,1570153749,81,21.43,39.83,299.686,1.89
95,bethel,90,US,1570153629,87,60.79,-161.76,282.15,7.2
96,qaanaaq,80,GL,1570153773,59,77.48,-69.36,270.816,3.17
97,phan thiet,64,VN,1570153831,66,10.93,108.1,302.616,1.61
98,flinders,75,AU,1570153827,68,-34.58,150.85,305.93,7.7
99,luderitz,0,NA,1570153647,73,-26.65,15.16,286.426,9.58
100,cameron park,1,US,1570153834,29,38.68,-120.99,297.15,5.7
101,thompson,5,CA,1570153610,74,55.74,-97.86,276.15,1.0
102,mobaye,100,CF,1570153835,96,4.33,21.18,291.206,0.51
103,port hawkesbury,75,CA,1570153836,80,45.62,-61.36,282.04,1.5
104,hailun,32,CN,1570153837,32,47.46,126.97,281.196,6.03
105,batemans bay,35,AU,1570153837,73,-35.71,150.18,295.37,1.79
106,banda aceh,85,ID,1570153837,75,5.56,95.32,300.226,1.52
107,mar del plata,0,AR,1570153648,48,-46.43,-67.52,282.086,7.05
108,kedrovyy,0,RU,1570153838,80,56.17,91.82,274.15,3.42
109,saskylakh,0,RU,1570153839,80,71.97,114.09,265.106,0.8
110,angoche,60,MZ,1570153840,85,-16.23,39.91,296.186,1.72
111,piacabucu,26,BR,1570153841,82,-10.41,-36.43,297.326,5.86
112,yar-sale,58,RU,1570153841,82,66.83,70.83,274.306,6.77
113,shar,100,NG,1570153842,96,7.3,8.73,295.796,1.54
114,toktogul,31,KG,1570153843,99,41.87,72.95,283.15,0.27
115,pampierstad,0,ZA,1570153844,21,-27.78,24.69,283.796,3.51
116,bintulu,75,MY,1570153846,94,3.17,113.03,299.15,2.1
117,eloi mendes,0,BR,1570153846,68,-21.61,-45.57,291.106,2.34
118,valdivia,0,CL,1570153847,81,-39.81,-73.25,282.15,1.5
119,grindavik,90,IS,1570153602,87,63.84,-22.43,282.15,14.4
120,redlands,1,US,1570153840,18,34.06,-117.19,300.15,3.58
121,tooele,1,US,1570153623,66,40.53,-112.3,289.15,2.1
122,nassau,0,AT,1570153848,100,46.81,15.34,277.59,0.5
123,snoghoj,86,DK,1570153849,81,55.52,9.72,282.15,2.6
124,guilin,20,CN,1570153850,73,25.28,110.29,298.15,2.0
125,talnakh,75,RU,1570153563,86,69.49,88.39,277.15,10.0
126,san cristobal,100,HN,1570153557,94,14.68,-86.92,293.166,1.37
127,khandyga,89,RU,1570153853,65,62.65,135.58,269.946,0.96
128,jucuaran,100,SV,1570153854,97,13.25,-88.25,295.056,0.56
129,rosetta,0,EG,1570153854,71,31.4,30.42,297.496,4.99
130,mayumba,100,GA,1570153855,89,-3.44,10.65,297.586,6.53
131,anchorage,40,US,1570153648,66,61.22,-149.89,284.26,2.6
132,torbay,40,CA,1570153856,74,47.66,-52.73,278.15,5.1
133,banjar,51,ID,1570153857,53,-7.37,108.54,302.266,3.3
134,souillac,90,FR,1570153680,100,45.6,-0.6,288.71,4.1
